created,duration,id,name,status,time,local_date,local_time,updated,utc_offset,waitlist_count,yes_rsvp_count,link,description,how_to_find_us,visibility,rsvp_limit,manual_attendance_count,rsvp_close_offset,venue.id,venue.name,venue.lat,venue.lon,venue.repinned,venue.address_1,venue.city,venue.country,venue.localized_country_name,venue.zip,venue.state,group.created,group.name,group.id,group.join_mode,group.lat,group.lon,group.urlname,group.who,group.localized_location,group.region
1508187825e3,5400000,244261258,November Meetup - All about Software/Data Carpentries + TidyText Group Activity,upcoming,15120954e5,2017-11-30,18:30,1512075124e3,-28800000,0,17,https://www.meetup.com/R-Ladies-PDX/events/244261258/,"<p>We will be in CLSB 1S018 of the OHSU Life Sciences Building on the Waterfront. The classroom is located on the main floor, no need to go up stairs or elevators!</p> <p>Map:</p> <p><img src=""https://secure.meetupstatic.com/photos/event/4/c/1/7/600_466519479.jpeg"" /></p> <p>More info about the location:<br/><a href=""http://www.ohsu.edu/xd/about/visiting/directions/clsb-life-sciences.cfm"" class=""linkified"">http://www.ohsu.edu/xd/about/visiting/directions/clsb-life-sciences.cfm</a></p> <p>Agenda (may change):</p> <p>6:30 - 7:00 - Introductions (maybe share something you've done, learned, or wanted to learn about R this week) + R Ladies Business (see link for discussion items: <a href=""https://github.com/rladies-pdx/meeting_recaps/wiki/2017-11-30-Agenda"" class=""linkified"">https://github.com/rladies-pdx/meeting_recaps/wiki/2017-11-30-Agenda</a> )</p> <p>7:00 - 7:15 - Carpentries Presentation (Augustina)</p> <p>Augustina is in the final stages of Carpentries Instructor Certification and will do a short presentation on it. For more info see: <a href=""https://software-carpentry.org"" class=""linkified"">https://software-carpentry.org</a> (<a href=""https://software-carpentry.org/"" class=""linkified"">https://software-carpentry.org/</a>)</p> <p>7:15 - 8:00 - Group Activity! Last month we co-hosted a TidyText tutorial with Julia Silge! Augustina has been doing analysis on Meetup activity for R-Ladies Global. Let's apply the TidyText things to R-Ladies Meetup text content including both group and event descriptions.</p> <p>Meetup Analysis:<br/>Notebook (WIP): <a href=""https://rpubs.com/rladiespdx/rladies-meetup-eda"" class=""linkified"">https://rpubs.com/rladiespdx/rladies-meetup-eda</a><br/>Repo: <a href=""https://github.com/rladies-pdx/meetup-analysis/"" class=""linkified"">https://github.com/rladies-pdx/meetup-analysis/</a><br/>Meetup Data: <a href=""https://github.com/rladies-pdx/meetup-analysis/tree/master/latest"" class=""linkified"">https://github.com/rladies-pdx/meetup-analysis/tree/master/latest</a></p> <p>TidyText Tutorial:<br/>Augustina's R Notebook from our Meetup: <a href=""https://rpubs.com/auggy/tidytext_ulysses"" class=""linkified"">https://rpubs.com/auggy/tidytext_ulysses</a><br/>Book: <a href=""http://tidytextmining.com/"" class=""linkified"">http://tidytextmining.com/</a></p> <p>Do you want to present something? Let us know!</p> <p>We will also provide FOOD because no one likes to R on an empty stomach :)</p> <p>Elephant's Deli is conveniently located adjacent to the Meetup Space so food will come from there with Vegetarian + Gluten Free options.</p> ","We will be in CLSB 1S018 of the OHSU Life Sciences Building on the Waterfront. The classroom is located on the main floor, no need to go up stairs or elevators! See the map linked in the event details.",public,,,,25614534,OHSU Collaborative Life Sciences Building (CLSB),45.503196716308594,-122.67186737060547,FALSE,2730 Southwest Moody Avenue,Portland,US,USA,,,1500532418e3,R-Ladies PDX,25057217,open,45.5,-122.69000244140625,R-Ladies-PDX,R-Ladies,"Portland, OR",en_US
1505313771e3,4500000,243331084,"Play in the snow, then clean up your mess!",upcoming,15121512e5,2017-12-01,12:00,1511970542e3,-21600000,0,18,https://www.meetup.com/rladies-nashville/events/243331084/,<p>Join us at the Wond'ry for a lunchtime meetup! Laurie Samuels will be demo-ing some packages for data cleaning in R; Svetlana Eden will be demo-ing a package that generates realistic snowflakes for some seasonal flair. See you there!</p> ,"The Wond'ry is in the new engineering building on Highland Avenue. When you enter the building, go up the main spiral staircase; we'll be in the conference room at the back of the glassed-in space. There's a parking garage across the street.",public,20,,,25237648,The Wond'ry,36.14297103881836,-86.80572509765625,FALSE,2414 Highland Avenue,Nashville,US,USA,,,1475090435e3,R-Ladies Nashville,20493986,open,36.16999816894531,-86.779998779296875,rladies-nashville,Members,"Nashville, TN",en_US
1488227228e3,3600000,shrsrmywqbcb,LunchinatoRs,upcoming,15121512e5,2017-12-01,12:00,1505943196e3,-21600000,0,1,https://www.meetup.com/R-Ladies-Ames/events/245390719/,"<p>Hosted by the Department of Ecology, Evolution, and Organismal Biology. </p> <p>This is a weekly meeting hosted by R-Lady Audrey McCombs and Haldre Rogers in EEOB for folks interested in learning R and eating lunch together. Thanks to Audrey for extending this invitation to all of R-Ladies Ames! They meet from 12-1pm every Friday in Bessey Hall, room 334. </p> <p>Email Audrey at amccombs@iastate.edu for more information. If you're looking to present some cool R packages, how to wrestle with analysis issues, good coding practices, data management techniques, or anything else that you find interesting and helpful when working in R, let Audrey know! They'd love to host your presentation!</p> ",Room 334,public,,,,25089815,Bessey Hall,42.02848815917969,-93.6446304321289,FALSE,2200 Osborn Drive,Ames,us,USA,50011,IA,1480118246e3,R-Ladies Ames,21280054,open,42.029998779296875,-93.63999938964844,R-Ladies-Ames,R-Ladies,"Ames, IA",en_US
1511539626e3,,245361788,December R-Ladies Meetup: Regular Expressions,upcoming,15124014e5,2017-12-04,17:30,1511539626e3,7200000,0,9,https://www.meetup.com/rladies-cape-town/events/245361788/,"<p>Hi everyone,</p> <p>We'll be having our last meetup of the year on the 4th of December in the afternoon. Jodie will  be giving a tutorial on  String Matching and Modification in R using Regular Expressions - handy when you're cleaning data. There will be something for beginners and intermediate users alike.</p> <p>Best,</p> <p>Megan, Wiebke, Theoni and Jodie</p> ",,public,,,,12322382,"3rd Floor, Bandwidth Barn, Woodstock Exchange",-33.924869537353516,18.424055099487305,FALSE,"66 - 68 Albert Road, Woodstock Exchange",Cape Town,za,South Africa,,,1488792247e3,R-Ladies Cape Town,22790744,open,-33.93000030517578,18.459999084472656,rladies-cape-town,Members,"Cape Town, South Africa",en_US
1511185882e3,7200000,245252673,Book Club,upcoming,1512432e6,2017-12-04,19:00,1511185882e3,-18000000,0,20,https://www.meetup.com/R-Ladies-RTP/events/245252673/,"<p>• What we'll do<br/>Join us as we work through the first section of R for Data Science (<a href=""http://r4ds.had.co.nz/explore-intro.html"" class=""linkified"">http://r4ds.had.co.nz/explore-intro.html</a>) in small groups. This is a great way for both new and experienced users to become more familiar with R.</p> <p>All events are intended for women as leaders, mentors, members, and attendees. We are emphatically queer and trans friendly. Men are welcomed to attend as guests. This group was created so those who identify as women have a comfortable place to learn. If you would like to attend and feel excluded, please introduce yourself to an organizer.</p> <p>• What to bring<br/>Please bring your own laptop.</p> ",Turn right when you first walk in and you will find us sitting near the circular tables designated for quiet group discussion.,public,,,,6300922,Durham Public Library - South Regional Branch,35.9023323059082,-78.88829803466797,FALSE,4505 S. Alston Ave,Durham,us,USA,27713,NC,1471270976e3,R-Ladies RTP,20317472,open,36,-78.9000015258789,R-Ladies-RTP,Members,"Durham, NC",en_US
1510018883e3,10800000,244885257,"Linear, Logistic, and Cox Regression: When and How to Run in RStudio",upcoming,15125112e5,2017-12-05,17:00,1510339826e3,-18000000,0,15,https://www.meetup.com/rladies-ldnont/events/244885257/,"<p>Join us to learn about regression in RStudio. This month's meet up will be led by Jacqueline Kueper, PhD candidate in Epidemiology and Biostatistics at Western.</p> <p>No previous experience with regression or RStudio is required; all abilities are welcome. The main portion of the session will involve step-by-step instructions on how to set up, run, and interpret results from regression models that include one and more than one independent variable. We will also cover some background on three types of regression—linear, logistic, and Cox—including when and why you might want to run each of these models. Sample code and data will be made available so that you can follow along on a personal laptop; sitting back to absorb the conversation in a more hands-off way is also an option.</p> <p>Get excited! See you in December!</p> ","We are in the Wellington Room, on the second floor at the back. Parking under the library (entrance on King St) can be validated for up to 2 hours at the library help desk.",public,,,,19794792,London Public Library,42.98440170288086,-81.24620056152344,FALSE,251 Dundas St. ,London,ca,Canada,"",ON,1484658259e3,"R-Ladies London, Ontario",21965959,open,43.0099983215332,-81.18000030517578,rladies-ldnont,Members,"London, ON",en_US
1510847752e3,7200000,245161189,Intro to dplyr & ggplot2 with Marieke Jones,upcoming,15125148e5,2017-12-05,18:00,1511884523e3,-18000000,0,19,https://www.meetup.com/rladies-charlottesville/events/245161189/,"<p><b>* Updated Location * Please note that we will be meeting at Hemoshear, not VividCortex. Hemoshear is located near the other end of the Downtown Mall at 501 Locust Avenue, Suite 301. There is free parking in the parking lot. </b></p> <p>Pipes, plots, and more! </p> <p>Join us for a two-part workshop led by UVA's Marieke Jones on two core packages in the tidyverse: dplyr and ggplot2. This session is geared towards all proficiency levels in R. Whether you've just started learning and you want to know what piping is or how to make a plot, or if you're a pro and you want a refresher on writing cleaner code, this workshop will be beneficial to you. Also, there will be pizza :)</p> <p><b>Schedule:</b></p> <p>• <b>6:00-6:45 Intro to R</b></p> <p>• <b>6:45-7:30 Intro to dplyr </b></p> <p>Come to one or both! </p> <p>Please bring a laptop with R, RStudio, and the tidyverse package installed before coming to the MeetUp. If you need a short tutorial on getting oriented in R and on installing a package in R, please see this YouTube <a href=""https://www.youtube.com/watch?v=lTTJPRwnONE"">video</a>. We will be available 30min before the session starts to assist anyone with troubles installing R, RStudio, or packages.</p> <p>Please download the <a href=""https://docs.google.com/spreadsheets/d/1ipUu6PPQJcX_QwMNWVwG2KJBWju5smrHMd9jcJwb64U/edit?usp=sharing"">nhanes.csv</a> dataset we will be using during the sessions. Save this file to your Desktop so you can easily find it. </p> <p>Follow us on twitter for more updates! @RLadiesCville</p> <p>See you then!</p> ",,public,,0,,25636842,Hemoshear,0,0,FALSE,"501 Locust Avenue, Suite 301",Charlottesville,us,USA,"",VA,1506014722e3,R-Ladies Charlottesville,26004745,open,38,-78.45999908447266,rladies-charlottesville,Members,"Charlottesville, VA",en_US
1508957714e3,,244519503,ALL the Ladies in Tech Happy Hour: Winter Edition,upcoming,15125202e5,2017-12-05,18:30,1508957736e3,-21600000,0,1,https://www.meetup.com/rladies-austin/events/244519503/,"<p>***NOTE: RSVP is on Eventbrite for this event! Here's the link: <a href=""https://www.eventbrite.com/e/all-the-ladies-in-tech-happy-hour-winter-edition-tickets-39194718458"" class=""linkified"">https://www.eventbrite.com/e/all-the-ladies-in-tech-happy-hour-winter-edition-tickets-39194718458</a> ***</p> <p>This is a quarterly mega happy hour / networking mixer with the goal of connecting women in tech, data, and code in ATX.<br/>Apana's is offering a Happy Hour special of $1 off beer or wine. We've reserved their back room and around 7pm, we'll do some quick introductions for all of the groups present and a preview of the events they have planned for the winter.<br/>We're also partnering with Dress for Success Austin to do a drive for shoes and purses at this event -- if you have any extra shoes or purses, please consider bringing them to help women who are in need!<br/>This event is cohosted by these groups (please reach out if you know of a group that would like to co-host with us!):<br/>+ R-Ladies Austin<br/>+ Women in Data Science<br/>+ PyLadies ATX<br/>+ Women Who Code<br/>+ ChickTech Austin<br/>+ Austin Women in Technology<br/>+ Girl Develop It Austin<br/>Feel free to bring guests, but please note that we are limiting this event to those who identify as women only.<br/>Can't wait to see you all there!</p> ",,public,,0,,24682955,Apana's Coffee & Beer @ the Domain,30.400697708129883,-97.7226791381836,FALSE,11501 Rock Rose #118 ,Austin,US,USA,,,1485879617e3,R-Ladies Austin,22180445,open,30.219999313354492,-97.75,rladies-austin,Members,"Austin, TX",en_US
1511864641e3,10800000,245462083,Pubquiz navideño R-Ladies + PyLadies + OSWeekends + HaskellMAD,upcoming,15124986e5,2017-12-05,19:30,15120544e5,3600000,0,8,https://www.meetup.com/rladies-madrid/events/245462083/,"<p>¡Buenas, R-Ladies!</p> <p>Se acerca el último mes del año y con él, lo queramos o no, la Navidad, las compras, los viajes, las cenas de empresa y el poco tiempo libre... Así que hemos pensado en hacer del meetup de diciembre un evento más festivo.</p> <p>Como han hecho en comunidades R-Ladies de otras ciudades, os proponemos un pubquiz (<a href=""https://en.wikipedia.org/wiki/Pub_quiz"" class=""linkified"">https://en.wikipedia.org/wiki/Pub_quiz</a>), que es un concurso en un pub (sí, el nombre es muy descriptivo!).</p> <p>##### Comunidades participantes #####</p> <p>• R-Ladies (<a href=""https://www.meetup.com/es-ES/rladies-madrid/"" class=""linkified"">https://www.meetup.com/es-ES/rladies-madrid/</a>)</p> <p>• PyLadies (<a href=""https://www.meetup.com/es-ES/PyLadiesMadrid/"" class=""linkified"">https://www.meetup.com/es-ES/PyLadiesMadrid/</a>)</p> <p>• Open Source Weekends (<a href=""https://www.meetup.com/es-ES/Open-Source-Weekends/"" class=""linkified"">https://www.meetup.com/es-ES/Open-Source-Weekends/</a>)</p> <p>• Madrid Haskell Users Group (<a href=""https://www.meetup.com/es-ES/Haskell-MAD/"" class=""linkified"">https://www.meetup.com/es-ES/Haskell-MAD/</a>)</p> <p>##### Funcionamiento #####</p> <p>##### Equipos #####</p> <p>Se harán equipos (lo más igualados posible en cuestión de comunidades y tecnologías, que al menos haya un integrante de cada comunidad).</p> <p>Cada equipo tiene que tener un nombre (que eligen sus integrantes) y lo ponen en su papel de respuestas.</p> <p>##### Preguntas y respuestas #####</p> <p>Las preguntas se dirán por megafonía y se contestarán en un papel. Los organizadores de cada comunidad llevarán preparadas un mínimo de 10 preguntas. Cada pregunta tendrá una respuesta única. El tema de las preguntas es tecnología (lenguajes, etc.) o preguntas sobre la comunidad.</p> <p>##### Ganador #####</p> <p>El equipo con más respuestas correctas es el ganador.</p> <p>##### Normas #####</p> <p>No se puede consultar la respuesta por internet. Seamos legales, ¡vamos a pasarlo bien!</p> <p>##### Entradas #####</p> <p>Cada comunidad contará con 10 entradas, para que estén equilibrados entre los participantes los conocimientos técnicos.</p> <p>##### Asistencia #####</p> <p>Por favor, si no te apuntas y luego ves que no vas a poder venir, ¡libera tu plaza! Por muy poco tiempo que quede para el evento. En este meetup es especialmente importante para que los equipos puedan estar equilibrados. ¡Gracias!</p> <p>** Disclaimer: ¡sintiéndolo mucho no contamos con ayuda económica así que cada uno se tendrá que pagar las consumiciones que tome! ¡Gracias!</p> ",,public,8,,PT36H30M,25636481,Bar Cuatro Gatos,40.41426086425781,-3.7064740657806396,FALSE,"Calle Salvador, 4",Madrid,es,Spain,,,1472848175e3,R-Ladies Madrid,20381623,open,40.41999816894531,-3.7100000381469727,rladies-madrid,R-Ladies,"Madrid, Spain",en_US
1512033827e3,7200000,245523875,Let's get together and chat R and eat cake ,upcoming,15125823e5,2017-12-06,17:45,1512033827e3,0,0,8,https://www.meetup.com/R-Ladies-Manchester/events/245523875/,<p>• What we'll do<br/>Given it's coming into Xmas party season/end of term we thought we would have a casual meetup to talk R. There will be a couple of talks on:</p> <p>* Using git with R<br/>* Getting started with making R packages If there are any topics you'd like to cover or have an interesting talk to give then we'd love to hear from you. In January we will be organising a hackathon so we can also use this session to discuss ideas for this. It's Manchester R ladies 1st birthday! There will be cake. - We have the room booked for a couple of hours but we can move to a cafe/Xmas markets after the talks for a hot chocolate to go with the cake.</p> <p>• What to bring<br/>The sessions will probably be quite interactive so bring a laptop to follow along. Also bring along an R function that can be put into a package (this can be as simple as the HelloWorld function!)</p> ,Ahmed Iqbal Ullah Race Relations Resource Centre,public,,,,24464496,Central Library,53.47784423828125,-2.2429559230804443,FALSE,St Peter's Square,Manchester,gb,United Kingdom,,,1480459381e3,R-Ladies Manchester,21314716,open,53.470001220703125,-2.2300000190734863,R-Ladies-Manchester,Members,"Manchester, United Kingdom",en_US
