created,duration,id,name,rsvp_limit,status,time,local_date,local_time,updated,utc_offset,waitlist_count,yes_rsvp_count,link,description,how_to_find_us,visibility,manual_attendance_count,rsvp_close_offset,venue.id,venue.name,venue.lat,venue.lon,venue.repinned,venue.address_1,venue.city,venue.country,venue.localized_country_name,venue.zip,venue.state,group.created,group.name,group.id,group.join_mode,group.lat,group.lon,group.urlname,group.who,group.localized_location,group.region
1505313771e3,4500000,243331084,"Play in the snow, then clean up your mess!",20,upcoming,15121512e5,2017-12-01,12:00,1511970542e3,-21600000,0,18,https://www.meetup.com/rladies-nashville/events/243331084/,<p>Join us at the Wond'ry for a lunchtime meetup! Laurie Samuels will be demo-ing some packages for data cleaning in R; Svetlana Eden will be demo-ing a package that generates realistic snowflakes for some seasonal flair. See you there!</p> ,"The Wond'ry is in the new engineering building on Highland Avenue. When you enter the building, go up the main spiral staircase; we'll be in the conference room at the back of the glassed-in space. There's a parking garage across the street.",public,,,25237648,The Wond'ry,36.14297103881836,-86.80572509765625,FALSE,2414 Highland Avenue,Nashville,US,USA,,,1475090435e3,R-Ladies Nashville,20493986,open,36.16999816894531,-86.779998779296875,rladies-nashville,Members,"Nashville, TN",en_US
1510847752e3,7200000,245161189,Intro to dplyr & ggplot2 with Marieke Jones,,upcoming,15125148e5,2017-12-05,18:00,1511884523e3,-18000000,0,19,https://www.meetup.com/rladies-charlottesville/events/245161189/,"<p><b>* Updated Location * Please note that we will be meeting at Hemoshear, not VividCortex. Hemoshear is located near the other end of the Downtown Mall at 501 Locust Avenue, Suite 301. There is free parking in the parking lot. </b></p> <p>Pipes, plots, and more! </p> <p>Join us for a two-part workshop led by UVA's Marieke Jones on two core packages in the tidyverse: dplyr and ggplot2. This session is geared towards all proficiency levels in R. Whether you've just started learning and you want to know what piping is or how to make a plot, or if you're a pro and you want a refresher on writing cleaner code, this workshop will be beneficial to you. Also, there will be pizza :)</p> <p><b>Schedule:</b></p> <p>• <b>6:00-6:45 Intro to R</b></p> <p>• <b>6:45-7:30 Intro to dplyr </b></p> <p>Come to one or both! </p> <p>Please bring a laptop with R, RStudio, and the tidyverse package installed before coming to the MeetUp. If you need a short tutorial on getting oriented in R and on installing a package in R, please see this YouTube <a href=""https://www.youtube.com/watch?v=lTTJPRwnONE"">video</a>. We will be available 30min before the session starts to assist anyone with troubles installing R, RStudio, or packages.</p> <p>Please download the <a href=""https://docs.google.com/spreadsheets/d/1ipUu6PPQJcX_QwMNWVwG2KJBWju5smrHMd9jcJwb64U/edit?usp=sharing"">nhanes.csv</a> dataset we will be using during the sessions. Save this file to your Desktop so you can easily find it. </p> <p>Follow us on twitter for more updates! @RLadiesCville</p> <p>See you then!</p> ",,public,0,,25636842,Hemoshear,0,0,FALSE,"501 Locust Avenue, Suite 301",Charlottesville,us,USA,"",VA,1506014722e3,R-Ladies Charlottesville,26004745,open,38,-78.45999908447266,rladies-charlottesville,Members,"Charlottesville, VA",en_US
1511864641e3,10800000,245462083,Pubquiz navideño R-Ladies + PyLadies + OSWeekends + HaskellMAD,8,upcoming,15124986e5,2017-12-05,19:30,15120544e5,3600000,0,8,https://www.meetup.com/rladies-madrid/events/245462083/,"<p>¡Buenas, R-Ladies!</p> <p>Se acerca el último mes del año y con él, lo queramos o no, la Navidad, las compras, los viajes, las cenas de empresa y el poco tiempo libre... Así que hemos pensado en hacer del meetup de diciembre un evento más festivo.</p> <p>Como han hecho en comunidades R-Ladies de otras ciudades, os proponemos un pubquiz (<a href=""https://en.wikipedia.org/wiki/Pub_quiz"" class=""linkified"">https://en.wikipedia.org/wiki/Pub_quiz</a>), que es un concurso en un pub (sí, el nombre es muy descriptivo!).</p> <p>##### Comunidades participantes #####</p> <p>• R-Ladies (<a href=""https://www.meetup.com/es-ES/rladies-madrid/"" class=""linkified"">https://www.meetup.com/es-ES/rladies-madrid/</a>)</p> <p>• PyLadies (<a href=""https://www.meetup.com/es-ES/PyLadiesMadrid/"" class=""linkified"">https://www.meetup.com/es-ES/PyLadiesMadrid/</a>)</p> <p>• Open Source Weekends (<a href=""https://www.meetup.com/es-ES/Open-Source-Weekends/"" class=""linkified"">https://www.meetup.com/es-ES/Open-Source-Weekends/</a>)</p> <p>• Madrid Haskell Users Group (<a href=""https://www.meetup.com/es-ES/Haskell-MAD/"" class=""linkified"">https://www.meetup.com/es-ES/Haskell-MAD/</a>)</p> <p>##### Funcionamiento #####</p> <p>##### Equipos #####</p> <p>Se harán equipos (lo más igualados posible en cuestión de comunidades y tecnologías, que al menos haya un integrante de cada comunidad).</p> <p>Cada equipo tiene que tener un nombre (que eligen sus integrantes) y lo ponen en su papel de respuestas.</p> <p>##### Preguntas y respuestas #####</p> <p>Las preguntas se dirán por megafonía y se contestarán en un papel. Los organizadores de cada comunidad llevarán preparadas un mínimo de 10 preguntas. Cada pregunta tendrá una respuesta única. El tema de las preguntas es tecnología (lenguajes, etc.) o preguntas sobre la comunidad.</p> <p>##### Ganador #####</p> <p>El equipo con más respuestas correctas es el ganador.</p> <p>##### Normas #####</p> <p>No se puede consultar la respuesta por internet. Seamos legales, ¡vamos a pasarlo bien!</p> <p>##### Entradas #####</p> <p>Cada comunidad contará con 10 entradas, para que estén equilibrados entre los participantes los conocimientos técnicos.</p> <p>##### Asistencia #####</p> <p>Por favor, si no te apuntas y luego ves que no vas a poder venir, ¡libera tu plaza! Por muy poco tiempo que quede para el evento. En este meetup es especialmente importante para que los equipos puedan estar equilibrados. ¡Gracias!</p> <p>** Disclaimer: ¡sintiéndolo mucho no contamos con ayuda económica así que cada uno se tendrá que pagar las consumiciones que tome! ¡Gracias!</p> ",,public,,PT36H30M,25636481,Bar Cuatro Gatos,40.41426086425781,-3.7064740657806396,FALSE,"Calle Salvador, 4",Madrid,es,Spain,,,1472848175e3,R-Ladies Madrid,20381623,open,40.41999816894531,-3.7100000381469727,rladies-madrid,R-Ladies,"Madrid, Spain",en_US
1511538221e3,,245361489,Reunión de cierre año 2017,40,upcoming,15126732e5,2017-12-07,16:00,1512066753e3,-10800000,0,26,https://www.meetup.com/rladies-scl/events/245361489/,"<p>¡Ya tenemos fecha para nuestra última reunión del 2017! </p> <p>El jueves 7 de diciembre a partir de las 16:00 haremos un evento especial de cierre de año: un meetup múltiple con el grupo de usuarios de R en Chile (useRchile) y con la comunidad de PowerBI. En esta ocasión, el foco estará puesto en la presentación de trabajos y proyectos. </p> <p><br/>Charla 1  - Alexis Alvear, Subdirector Data UC: ""Democratización de los Datos Públicos"".</p> <p>Charla 2 - Cesar Hormazábal, Data Science en Metric Arts: ""Utilizando R, llevando el Data Science a Power BI"".</p> <p>Charla 3 - Riva Quiroga, Facultad de Letras UC: ""Text mining en R: buscando patrones lingüísticos en discursos políticos"".</p> <p>Charla 4 - Derek Corcoran, Chief Experience Officer at Avoka: ""Análisis espaciales y machine learning para predecir los resultados de la NBA en R"".</p> <p>Charla 5 - Sara Acevedo, Doctora (c) en Ciencias de la Ingeniería UC: ""Aplicación de algoritmos de machine learning para la estimación de propiedades del suelo"".</p> <p>Charla 6 - Joshua Kunst, R fan: “¿Por qué Shiny? ¿Por qué con estilo?”</p> ",,public,,,25541430,Auditorio Mide-UC Campus San Joaquín,-33.49958801269531,-70.61544036865234,FALSE,"Av. Vicuña Mackenna 4860, Macul",Santiago,cl,Chile,,,1500409431e3,R-Ladies Santiago,25039094,open,-33.459999084472656,-70.63999938964844,rladies-scl,RLadies,"Santiago, Chile",en_US
1511042604e3,,245217280,Kick-starting R-Ladies Vancouver!!!!,15,upcoming,15126984e5,2017-12-07,18:00,151206781e4,-28800000,0,13,https://www.meetup.com/R-Ladies-Vancouver/events/245217280/,"<p>Hello R-Ladies community!</p> <p><br/>We are ready to kick-start our Vancouver chapter of the R-Ladies!</p> <p><br/>Come along to this introductory event where we will discuss the mission of R-Ladies, goals of our chapter and get to know each other. This event is kindly supported by Hothead Games, who are hosting us at their office downtown, thanks a bunch Hothead Games! Also, shout-out to RStudio for providing the food. Space is limited so please make sure you RSVP to get your spot.</p> <p><br/>If you haven’t done so yet, please fill out this survey to help us organize future events: <a href=""http://meet.meetup.com/wf/click?upn=pEEcc35imY7Cq0tG1vyTtzvunsCyKxCKYpTaEbXKAlBW3f8FXCLadsHoAxp5xgfj_CQ7n4E-2BgUeoCGIDa4hBlyamVQRfMhrZULcLb4L-2BbS6NUfsPuyG9IujIfOJGmsDiPFLBhOvBihI7EmYukDjP3BzYREAnCWvPIbLFcGUwr6RejKJGba7ejg502Z95BbO-2B573gbtpJhu6O29evC7fmv1NSi-2FoPKtqpyFqKmhkfPM0ahXv2-2FUcPyQj5-2BuV4wcH-2FucfHngE-2BWqi3hKmOWHgrn6xIz5cxcciSKdKrt4vhYAJ4-3D""><a href=""https://goo.gl/forms/oztMH7oj0bcKHFUq1"" class=""linkified"">https://goo.gl/forms/oztMH7oj0bcKHFUq1</a></a></p> <p><br/>Here is a tentative agenda. Times may shift depending on how many folks show up and what you are interested in sharing.</p> <p><br/> 6:00-6:15 pm - Arriving/networking</p> <p><br/> 6:15 pm: Introduction; a presentation with a discussion on:</p> <p> • What is R-Ladies?</p> <p> • What would we like to see at R-Ladies events</p> <p> • Share your comments about location for future meetups</p> <p> • Any other R-Ladies Vancouver issues you would like to discuss email: vancouver@rladies.org</p> <p><br/>7:00 pm - Lightning talks or an R related talk (depending on interest)</p> <p><br/>Lightning talks - this is an opportunity to informally introduce ourselves and share what we are using R for or what we are hoping to do with R (~ 5-10 minutes each). If you would like to give a little talk, here's a link to sign up <a href=""https://drive.google.com/open?id=1BQjWONGQ5RaRRIGKisJ43U0AuERCx-oUszQAap6gtms"">HERE</a>.There is no need for fancy slides (or any slides), the idea is to share our R interests/backgrounds and for the members to get to know each other.</p> ",,public,,,25072155,Hothead Games Office,49.29037094116211,-123.12954711914062,FALSE,1555 W. Pender St.,Vancouver,ca,Canada,"",BC,1507261656e3,R-Ladies Vancouver,26169684,open,49.279998779296875,-123.04000091552734,R-Ladies-Vancouver,Members,"Vancouver, BC",en_US
1511208203e3,7200000,245261565,R-Ladies Launch with Hadley Wickham,50,upcoming,15126228e5,2017-12-07,18:00,1511905385e3,46800000,0,8,https://www.meetup.com/rladies-auckland/events/245261565/,"<p>Hi Everyone!</p> <p><br/>We are thrilled to announce our meetup launch with Hadley Wickham presenting an introduction to the tidyverse. </p> <p>This will aimed all all R abilities. For those very new to R or those who have using the tidyverse for a while, you'll still pick up some new tricks.</p> <p>Bio: <br/>Hadley is Chief Scientist at RStudio, a member of the R Foundation, and Adjunct Professor at Stanford University and the University of Auckland. He builds tools (both computational and cognitive) to make data science easier, faster, and more fun. His work includes packages for data science (the tidyverse: including ggplot2, dplyr, tidyr, purrr, and readr) and principled software development (roxygen2, <br/>testthat, devtools). He is also a writer, educator, and speaker promoting the use of R for data science. Learn more on his website, <a href=""http://hadley.nz/""><a href=""http://hadley.nz"" class=""linkified"">http://hadley.nz</a></a> .</p> <p><br/>This meetup is being run in conjunction with the Data Science Discussion group <a href=""https://www.meetup.com/Data-Science-Discussion-Auckland/"" class=""linkified"">https://www.meetup.com/Data-Science-Discussion-Auckland/</a></p> <p><br/>We look forward to meeting you.</p> <p>R-Ladies Auckland.</p> <p>


<img src=""https://secure.meetupstatic.com/photos/event/e/8/1/600_466503713.jpeg"" /></p> ",,public,,,25626143,"SLT1 Lecture Theatre, Room G01, Building 303 Science Building, University of Auckland",0,0,FALSE,38 Princes Street,Auckland,nz,New Zealand,,,151119739e4,R-Ladies Auckland,26653882,approval,-36.849998474121094,174.75999450683594,rladies-auckland,Members,"Auckland, New Zealand",en_US
1511823303e3,,245450756,Christmas Party!,,upcoming,15129738e5,2017-12-11,17:30,1511910391e3,39600000,0,27,https://www.meetup.com/R-Ladies-Melbourne/events/245450756/,"<p><img src=""https://secure.meetupstatic.com/photos/event/b/8/e/0/600_466487328.jpeg"" /></p> <p>


Merry Christmas Everyone!</p> <p>To celebrate the festive season come and join us on December 11 for our annual R-Ladies Christmas Party! There will be R-related games with lots of prizes, drinks and pizza. Come along and get to know your fellow members!</p> <p>This is also a great opportunity to let us know your thoughts on the meetings we've had this year and what you would like to see next year. If you would like contribute to the group, whether by giving a short talk, workshop or seminar we would love to hear from you.</p> <p>It's going to be a great night and we hope to see everyone there!</p> <p>Please remember to bring a laptop with you.</p> <p>Wishing you all a safe and happy holiday.</p> <p>R-Ladies Melbourne</p> <p>


Graphics for the flyer were obtained from <br/>[A fractal Christmas Tree](<a href=""https://gist.github.com/toddleo/61dc86f7012a728944f2"" class=""linkified"">https://gist.github.com/toddleo/61dc86f7012a728944f2</a>)<br/>[A Simpler Christmas Tree](<a href=""https://gist.github.com/jtleek/4369771"" class=""linkified"">https://gist.github.com/jtleek/4369771</a>)</p> ",,public,,,24579586,Zendesk Basement,-37.8170280456543,144.96153259277344,FALSE,"395 Collins St, Melbourne",Melbourne,au,Australia,,,1472776317e3,R-Ladies Melbourne,20378903,open,-37.810001373291016,144.9600067138672,R-Ladies-Melbourne,Members,"Melbourne, Australia",en_US
1512075931538,,242739422,Holiday Exodus Pub Night,,upcoming,15131196e5,2017-12-12,18:00,1512075931538,-18000000,0,1,https://www.meetup.com/rladies-boston/events/242739422/,,,public_limited,0,,,,,,,,,,,,,1474065871e3,R-Ladies Boston,20433637,approval,42.36000061035156,-71.06999969482422,rladies-boston,R-ladies,"Boston, MA",en_US
1511354738e3,10800000,245307502,lightning_talks(R-Ladies),80,upcoming,1513098e6,2017-12-12,18:00,151181679e4,3600000,0,34,https://www.meetup.com/R-Ladies-Budapest/events/245307502/,"<p>Decemberben tiétek a főszerep!</p> <p>A program 5 perces lightning talk-okból fog állni, amiket ti tarthattok olyan témákról, amelyek titeket érdekelnek: egy hasznos R package, igzalamas esettanulmány, érdekes módszertan stb. Az előadások után pizza evés közben kötetlen beszélgetés során lehet ismerkedni, beszélgetni az elhangzott témákról.</p> <p>Az eddig beérkezett témák között van idősorelemzés, web scraping, szófelhő készítés sőt még dunnhumby esettanulmány is. Hamarosan közzé tesszük a végleges programot is, de még várjuk további előadók jelentkezését a budapest@rladies.org címen!</p> <p>----------------------------------------------------------------------------------------------------------------------</p> <p>Szervezési részletek</p> <p>Az Accenture biztonsági előírásait nekünk is teljesítenünk kell, így kérnénk Benneteket:</p> <p>• a teljes és pontos nevetekkel iratkozzatok fel<br/>• legfeljebb december 11. 12:00-ig<br/>• legyen Nálatok fényképes igazolvány és készítsétek is elő, hogy fennakadás mentes legyen a bejutás.</p> ",,public,,,25626669,"Accenture (Váci Greens, building B, 3rd floor)",0,0,FALSE,Bence u. 1.,Budapest,hu,Hungary,,,1485298222e3,R-Ladies Budapest,22066895,open,47.5099983215332,19.079999923706055,R-Ladies-Budapest,Members,"Budapest, Hungary",en_US
1510539674e3,7200000,245064725,R in the world of Education,,upcoming,15131214e5,2017-12-12,18:30,1510539762e3,-18000000,0,50,https://www.meetup.com/rladies-newyork/events/245064725/,"<p>We are very excited to announce our last meetup of the year with Erin Grand.</p> <p>Her Talk: Many schools across the country are starting to use data to help improve student outcomes. In this talk, Erin will discuss what kind of data she gets to dive into and some of the challenges each project faces. She'll talk about ways to clean messy data, how using R has helped speed up everything, and the amazing janitor package.</p> <p>Her Bio:  Erin joined Uncommon Schools as an Associate Director of Data Analytics in the summer of 2016. Prior to Uncommon, she worked as a Data Scientist at Crisis Text Line and a software programmer at NASA. She recently completed her masters in Data Science at Columbia University. In the past, Erin researched star formation and taught introductory courses in astronomy and physics. In her free time, Erin enjoys reading, dancing and singing loudly to musical theatre.</p> <p>Agenda: </p> <p>6:30-6:45pm Light networking</p> <p>6:45-7:00pm R-Ladies New York Announcements</p> <p>7:00-7:45pm R in the world of Education by Erin Grand with Q&amp;A</p> <p>7:45-8:30pm End of year celebration/networking for R-ladies NewYork.</p> <p>We want to thank our very generous host, AT&amp;T NYC Data Science Research Center(<a href=""http://stats.research.att.com/"">stats.research.att.com</a>) for having us in their space. </p> ",,public,,PT24H,25608394,AT&T NYC Data Science Research Center,40.71659469604492,-74.00605010986328,FALSE,"33 Thomas Street  New York, NY 10007",New York,us,USA,"",NY,147198606e4,R-Ladies New York,20346526,open,40.75,-73.98999786376953,rladies-newyork,Rladies,"New York, NY",en_US
